Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Dong 'Maestro' Hyun Ma,Dong Hyun Ma,Maestro,5.11,155.0,Orthodox,16,11,3,False,2.38,0.12,29.38,0.88,0.0,144.75,0.41,0.3,0.7,0.69,0.34,0.37,0.18,0.0,0.12,Lightweight,Male,Hybrid
William 'Patolino' Macario,William Macario,Patolino,5.11,170.0,Orthodox,9,3,0,False,2.25,0.0,50.0,1.25,0.0,80.75,0.47,0.44,0.66,0.7,0.4,0.6,0.64,0.25,0.0,Welterweight,Male,Striker
Jason 'The Athlete' MacDonald,Jason MacDonald,The Athlete,6.3,185.0,Orthodox,25,16,0,False,1.64,0.0,9.29,0.57,0.79,138.43,0.51,0.28,0.52,0.56,0.22,0.64,0.42,0.79,0.29,Middleweight,Male,Wrestler
Rob 'Maximus' MacDonald,Rob MacDonald,Maximus,6.3,205.0,Orthodox,5,4,0,False,1.0,0.0,5.0,1.33,1.0,62.67,0.47,0.41,0.0,0.67,0.33,0.13,0.23,1.0,0.0,Light Heavyweight,Male,Hybrid
Rory 'Red King' MacDonald,Rory MacDonald,Red King,6.0,170.0,Orthodox,19,4,0,False,2.92,0.08,51.31,1.62,0.38,117.54,0.42,0.38,0.6,0.56,0.35,0.53,0.46,0.31,0.15,Welterweight,Male,Striker
Ryan 'Main Event' MacDonald,Ryan MacDonald,Main Event,5.11,135.0,Switch,10,2,0,False,2.0,0.0,22.5,0.0,0.0,6.5,0.47,0.3,0.64,0.9,0.48,0.0,0.0,0.0,0.0,Bantamweight,Male,Hybrid
Caio 'Bigfoot' Machado,Caio Machado,Bigfoot,6.4,250.0,Southpaw,8,4,1,False,3.0,0.0,76.0,0.0,0.0,6.67,0.47,0.34,0.77,0.8,0.47,0.56,0.33,0.0,0.0,Light Heavyweight,Male,Striker
Ian 'The Future' Machado Garry,Ian Machado Garry,The Future,6.3,170.0,Orthodox,16,1,0,False,3.0,0.4,70.3,1.0,0.4,121.2,0.5,0.38,0.69,0.87,0.48,0.61,0.32,0.4,0.0,Welterweight,Male,Striker
Lyoto 'The Dragon' Machida,Lyoto Machida,The Dragon,6.1,185.0,Southpaw,24,8,0,False,2.62,0.58,29.83,0.58,0.33,117.67,0.5,0.41,0.71,0.68,0.49,0.5,0.55,0.42,0.08,Middleweight,Male,Striker
War 'No Nickname' Machine,War Machine,No Nickname,5.11,170.0,Orthodox,14,5,0,False,2.0,0.0,15.0,0.5,0.0,216.5,0.55,0.3,0.5,0.5,0.42,0.0,0.34,0.0,0.5,Welterweight,Male,Hybrid
Anthony 'Mad Dog' Macias,Anthony Macias,Mad Dog,5.9,185.0,Switch,26,18,0,False,1.0,0.0,4.0,0.0,0.0,135.034,0.88,0.5,0.5,0.34,0.34,0.5,0.5,0.0,0.0,Open Weight,Male,Striker
Reza 'Mad Dog' Madadi,Reza Madadi,Mad Dog,5.11,155.0,Orthodox,14,6,0,False,2.86,0.0,32.29,2.71,0.43,162.0,0.52,0.35,0.59,0.56,0.27,0.61,0.47,0.57,0.0,Lightweight,Male,Wrestler
Don 'Magic Man' Madge,Don Madge,Magic Man,6.0,155.0,Southpaw,9,3,1,False,2.5,1.0,21.0,1.5,0.5,401.0,0.38,0.3,0.93,0.34,0.34,0.19,0.36,0.0,0.0,Lightweight,Male,Striker
Ryan 'No Nickname' Madigan,Ryan Madigan,No Nickname,6.0,170.0,Orthodox,5,3,0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,Male,No Clear Style
Jon 'No Nickname' Madsen,Jon Madsen,No Nickname,6.0,240.0,Orthodox,8,2,0,False,2.4,0.0,28.0,1.0,0.0,169.0,0.46,0.41,0.64,0.38,0.26,0.41,0.37,0.0,0.0,Heavyweight,Male,Hybrid
Mark 'The Olympian' Madsen,Mark Madsen,The Olympian,5.8,155.0,Orthodox,12,2,0,False,2.33,0.0,37.33,2.0,0.0,111.33,0.5,0.42,0.5,0.66,0.31,0.72,0.48,0.0,0.0,Lightweight,Male,Striker
Leonardo 'Macarrao' Mafra,Leonardo Mafra,Macarrao,5.1,155.0,Orthodox,13,4,0,False,2.25,0.0,40.25,1.25,0.25,102.75,0.5,0.38,0.62,0.88,0.47,0.74,0.43,0.25,0.0,Lightweight,Male,Striker
Vinny 'Pezao' Magalhaes,Vinny Magalhaes,Pezao,6.3,205.0,Orthodox,14,9,0,False,2.0,0.0,16.6,0.8,0.4,55.4,0.37,0.27,0.49,0.41,0.38,0.2,0.34,0.0,0.0,Light Heavyweight,Male,Hybrid
Caio 'Hellboy' Magalhaes,Caio Magalhaes,Hellboy,6.1,185.0,Orthodox,10,3,0,False,2.0,0.29,18.43,0.57,0.86,102.57,0.46,0.4,0.48,0.31,0.33,0.67,0.51,1.0,0.0,Middleweight,Male,Wrestler
Bernardo 'Trekko' Magalhaes,Bernardo Magalhaes,Trekko,5.9,155.0,Orthodox,13,4,0,False,3.0,0.0,27.0,0.0,0.5,5.5,0.3,0.2,0.55,0.86,0.3,0.0,0.0,0.5,0.5,Lightweight,Male,Hybrid
Angela 'Your Majesty' Magana,Angela Magana,Your Majesty,5.1,115.0,Orthodox,11,9,0,False,2.67,0.0,19.0,0.33,0.33,40.33,0.47,0.3,0.72,0.85,0.44,0.94,0.57,1.33,0.0,Women's Strawweight,Female,Striker
Neil 'The Haitian Sensation' Magny,Neil Magny,The Haitian Sensation,6.3,170.0,Orthodox,30,13,0,False,2.6,0.06,42.0,1.74,0.2,186.2,0.47,0.41,0.69,0.71,0.41,0.55,0.48,0.14,0.03,Welterweight,Male,Striker
Rashid 'Highlander' Magomedov,Rashid Magomedov,Highlander,5.9,155.0,Orthodox,20,2,0,False,3.0,0.83,66.0,0.67,0.17,150.5,0.44,0.23,0.63,0.9,0.42,0.59,0.0,0.17,0.0,Lightweight,Male,Striker
Ruslan 'Leopard' Magomedov,Ruslan Magomedov,Leopard,6.3,242.0,Orthodox,14,1,0,False,3.0,0.33,60.33,0.33,0.0,190.67,0.36,0.24,0.75,0.62,0.28,0.78,0.21,0.0,0.0,Heavyweight,Male,Hybrid
Abus 'No Nickname' Magomedov,Abus Magomedov,No Nickname,6.2,185.0,Orthodox,28,6,1,False,2.5,0.17,36.33,2.0,0.17,163.5,0.53,0.43,0.7,0.54,0.51,0.42,0.29,0.17,0.0,Middleweight,Male,Striker
Shara 'Bullet' Magomedov,Shara Magomedov,Bullet,6.2,185.0,Orthodox,16,1,0,False,2.83,0.33,81.33,0.0,0.0,21.0,0.64,0.5,0.84,0.87,0.63,0.8,0.23,0.0,0.0,Middleweight,Male,Striker
Zabit 'No Nickname' Magomedsharipov,Zabit Magomedsharipov,No Nickname,6.1,145.0,Orthodox,18,1,0,False,2.67,0.0,63.33,4.5,0.67,209.17,0.45,0.36,0.6,0.82,0.4,0.31,0.56,0.33,0.17,Featherweight,Male,Wrestler
John 'The One' Maguire,John Maguire,The One,5.9,155.0,Southpaw,24,9,0,False,2.8,0.0,19.6,2.6,1.0,241.0,0.46,0.39,0.57,0.76,0.39,0.71,0.55,1.0,0.4,Welterweight,Male,Wrestler
Bill 'The Butcher' Mahood,Bill Mahood,The Butcher,6.3,200.0,Orthodox,20,7,1,False,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Light Heavyweight,Male,Hybrid
Demian 'No Nickname' Maia,Demian Maia,No Nickname,6.1,170.0,Southpaw,28,11,0,False,2.7,0.03,22.39,2.06,0.82,255.55,0.49,0.46,0.5,0.54,0.36,0.34,0.68,0.73,0.27,Welterweight,Male,Wrestler
Jennifer 'No Nickname' Maia,Jennifer Maia,No Nickname,5.4,125.0,Orthodox,21,10,1,False,3.0,0.0,65.08,0.42,0.08,186.58,0.42,0.31,0.69,0.89,0.4,0.71,0.44,0.08,0.0,Women's Flyweight,Female,Striker
Levan 'The Hornet' Makashvili,Levan Makashvili,The Hornet,5.8,145.0,Orthodox,15,2,1,False,3.0,0.0,43.0,3.67,0.0,164.33,0.51,0.31,0.86,0.73,0.41,0.79,0.57,0.0,0.0,Featherweight,Male,Striker
John 'The Bull' Makdessi,John Makdessi,The Bull,5.8,155.0,Orthodox,18,9,0,False,2.55,0.3,67.0,0.0,0.0,26.45,0.43,0.34,0.53,0.7,0.4,0.4,0.13,0.05,0.0,Lightweight,Male,Hybrid
Islam 'No Nickname' Makhachev,Islam Makhachev,No Nickname,5.1,170.0,Southpaw,27,1,0,False,2.35,0.24,26.76,2.18,0.76,212.59,0.51,0.42,0.74,0.56,0.43,0.57,0.58,0.71,0.29,Lightweight,Male,Wrestler
Zach 'Fun Size' Makovsky,Zach Makovsky,Fun Size,5.4,125.0,Southpaw,20,8,0,False,3.0,0.0,29.14,3.71,0.29,286.0,0.46,0.37,0.72,0.89,0.36,0.66,0.6,0.14,0.86,Flyweight,Male,Wrestler
Azat 'Qazaq' Maksum,Azat Maksum,Qazaq,5.7,125.0,Southpaw,15,2,0,False,3.0,0.33,48.67,2.33,0.33,44.33,0.43,0.29,0.7,0.9,0.41,0.64,0.25,1.0,0.0,Flyweight,Male,Striker
